涓撲笟,鎬у埆,姣忓懆瀛︿範鏃堕暱锛堝皬鏃讹級,涓婅鍑哄嫟鐜?鏈熶腑鑰冭瘯鍒嗘暟,浣滀笟瀹屾垚鐜?鏈熸湯鑰冭瘯鍒嗘暟,鎬у埆_缂栫爜,涓撲笟_缂栫爜,
澶ф暟鎹鐞?鐢?24.13,1,88.76,0.91,76.52,1,4,
澶ф暟鎹鐞?濂?28.28,0.78,76.17,0.76,82.4,0,4,
鐢靛瓙鍟嗗姟,鐢?10.11,0.64,66.38,0.72,61.7,1,3
澶ф暟鎹鐞?鐢?38.9,0.89,67.53,0.81,92.18,1,4,
璐㈠姟绠＄悊,鐢?17.95,0.65,53.96,0.84,56.27,1,2
鐢靛瓙鍟嗗姟,濂?12.44,0.75,87.96,0.95,85.4,0,3
澶ф暟鎹鐞?濂?36.74,0.84,100,0.75,83.12,0,4,
浜哄伐鏅鸿兘,濂?24.84,0.67,64.41,0.88,78.28,0,1
浜哄伐鏅鸿兘,濂?15.17,0.78,51.6,0.95,67.42,0,1
澶ф暟鎹鐞?鐢?10.06,0.98,65.64,0.9,80.55,1,4,
鐢靛瓙鍟嗗姟,濂?19.26,0.98,61.14,0.83,76.22,0,3
浜哄伐鏅鸿兘,濂?6.49,0.96,94.04,0.81,76.01,0,1
浜哄伐鏅鸿兘,濂?16.18,0.72,88.61,0.75,64.56,0,1
鐢靛瓙鍟嗗姟,濂?34.95,0.97,44.84,0.84,63.22,0,3
鐢靛瓙鍟嗗姟,鐢?26.87,0.8,74.35,0.71,60.45,1,3
璐㈠姟绠＄悊,濂?5.0,0.69,80.68,0.76,55.79,0,2
鐢靛瓙鍟嗗姟,鐢?28.76,0.64,92.26,0.77,84.76,1,3
璐㈠姟绠＄悊,濂?17.43,0.72,82.11,0.82,72.43,0,2
璐㈠姟绠＄悊,濂?33.4,0.63,95.17,0.81,84.37,0,2
璐㈠姟绠＄悊,濂?28.53,0.7,75.19,0.77,68.19,0,2
鐢靛瓙鍟嗗姟,鐢?16.01,0.86,71.33,0.8,53.69,1,3
浜哄伐鏅鸿兘,濂?22.46,0.74,67.04,0.96,71.72,0,1
浜哄伐鏅鸿兘,濂?16.89,0.74,74.49,0.72,70.72,0,1
澶ф暟鎹鐞?鐢?29.27,0.83,57.96,0.77,60.58,1,4,
鐢靛瓙鍟嗗姟,濂?17.28,0.8,74.23,0.99,68.2,0,3
鐢靛瓙鍟嗗姟,鐢?35.98,0.7,71.02,0.74,84.91,1,3
鐢靛瓙鍟嗗姟,鐢?16.93,0.79,44.35,0.9,65.6,1,3
浜哄伐鏅鸿兘,濂?14.2,0.8,65.08,0.98,53.58,0,1
宸ュ晢绠＄悊,鐢?28.45,0.84,85.89,0.77,80.69,1,0
澶ф暟鎹鐞?鐢?19.38,0.66,71.55,0.92,80.88,1,4,
宸ュ晢绠＄悊,鐢?32.72,0.89,78.95,0.95,81.9,1,0
宸ュ晢绠＄悊,濂?33.69,0.65,71.1,0.82,72.65,0,0
宸ュ晢绠＄悊,濂?27.29,0.73,100,0.92,96.34,0,0
澶ф暟鎹鐞?鐢?33.68,0.62,90.27,0.83,90.25,1,4,
宸ュ晢绠＄悊,濂?29.44,0.96,65.59,0.79,80.28,0,0
澶ф暟鎹鐞?濂?19.87,0.97,64.13,0.78,66.13,0,4,
澶ф暟鎹鐞?鐢?25.77,1,75.29,0.81,82.57,1,4,
宸ュ晢绠＄悊,鐢?18.8,0.94,100,0.76,97,1,0
澶ф暟鎹鐞?濂?28.44,0.79,83.81,0.88,80.86,0,4,
澶ф暟鎹鐞?鐢?23.05,0.71,100,0.73,79.94,1,4,
鐢靛瓙鍟嗗姟,濂?18.61,0.7,75.81,0.93,81.69,0,3
鐢靛瓙鍟嗗姟,濂?13.06,0.71,57.2,0.83,76.06,0,3
鐢靛瓙鍟嗗姟,濂?21.63,0.95,74.92,0.71,89.72,0,3
宸ュ晢绠＄悊,鐢?29.43,0.65,89.7,0.78,78.33,1,0
璐㈠姟绠＄悊,濂?17.59,0.67,55.21,0.91,57.97,0,2
浜哄伐鏅鸿兘,濂?20.58,0.82,85.7,0.72,68.07,0,1
浜哄伐鏅鸿兘,濂?26.97,0.89,82.22,0.88,81.95,0,1
浜哄伐鏅鸿兘,濂?17.13,0.76,84.68,0.95,67.61,0,1
璐㈠姟绠＄悊,濂?24.03,0.77,67.71,0.91,67.09,0,2
宸ュ晢绠＄悊,濂?19.57,0.91,58.89,0.73,69.51,0,0
浜哄伐鏅鸿兘,鐢?18.81,0.74,72.54,0.72,70.64,1,1
宸ュ晢绠＄悊,鐢?23.76,0.77,68.97,0.96,58.48,1,0
宸ュ晢绠＄悊,濂?19.03,0.6,76.55,0.94,83.55,0,0
鐢靛瓙鍟嗗姟,鐢?24.38,0.83,69.08,0.86,63.89,1,3
浜哄伐鏅鸿兘,鐢?21.07,0.97,80.83,0.89,71.28,1,1
浜哄伐鏅鸿兘,濂?22.69,0.63,69.91,0.95,60.49,0,1
鐢靛瓙鍟嗗姟,濂?27.48,0.93,85.28,0.76,76.97,0,3
浜哄伐鏅鸿兘,濂?25.94,0.97,85.84,0.8,75.72,0,1
宸ュ晢绠＄悊,鐢?13.43,0.87,73.08,0.94,62.82,1,0
璐㈠姟绠＄悊,濂?31.1,0.74,56.89,0.94,52.18,0,2
澶ф暟鎹鐞?濂?25.85,0.71,82.9,0.72,76.89,0,4,
宸ュ晢绠＄悊,濂?18.96,0.82,77.8,0.99,77.46,0,0
浜哄伐鏅鸿兘,濂?18.43,0.82,62.03,0.87,83.85,0,1
宸ュ晢绠＄悊,鐢?7.29,0.9,56.73,0.9,63.5,1,0
澶ф暟鎹鐞?鐢?23.09,0.78,74.71,0.98,71.49,1,4,
璐㈠姟绠＄悊,濂?5.0,0.96,74.97,0.84,55.49,0,2
澶ф暟鎹鐞?鐢?18.09,0.95,81.71,0.74,74.4,1,4,
澶ф暟鎹鐞?鐢?31.71,0.83,43.15,0.86,65.91,1,4,
澶ф暟鎹鐞?鐢?19.5,0.97,90.19,0.96,79.73,1,4,
宸ュ晢绠＄悊,濂?22.28,0.76,90.71,0.79,80.15,0,0
璐㈠姟绠＄悊,鐢?27.49,0.8,93.71,0.8,98.35,1,2
鐢靛瓙鍟嗗姟,濂?14.46,0.92,89.48,0.76,73.88,0,3
宸ュ晢绠＄悊,鐢?5.64,0.97,52.31,0.74,36.83,1,0
鐢靛瓙鍟嗗姟,濂?17.38,0.89,76.38,0.84,80.11,0,3
鐢靛瓙鍟嗗姟,濂?25.45,0.95,100,0.83,91.77,0,3
璐㈠姟绠＄悊,鐢?15.84,0.7,75.42,0.93,55.76,1,2
浜哄伐鏅鸿兘,濂?25.89,0.7,84.94,0.84,81.64,0,1
鐢靛瓙鍟嗗姟,鐢?16.5,0.75,53.12,0.84,50.29,1,3
澶ф暟鎹鐞?濂?21.35,0.82,73.55,0.95,77.4,0,4,
璐㈠姟绠＄悊,濂?12.11,0.95,78.55,0.93,90.19,0,2
璐㈠姟绠＄悊,鐢?30.39,0.66,69.96,0.78,70.61,1,2
浜哄伐鏅鸿兘,鐢?33.59,0.96,89.06,0.86,95.73,1,1
鐢靛瓙鍟嗗姟,鐢?12.59,0.83,100,0.84,75,1,3
鐢靛瓙鍟嗗姟,鐢?23.87,0.79,86.84,0.89,68.86,1,3
浜哄伐鏅鸿兘,鐢?23.87,0.88,73.36,0.71,87.77,1,1
宸ュ晢绠＄悊,濂?25.2,0.65,80.52,0.83,77.35,0,0
鐢靛瓙鍟嗗姟,濂?25.97,0.66,54.35,0.8,66.85,0,3
鐢靛瓙鍟嗗姟,鐢?9.08,0.99,75.22,0.71,78.2,1,3
澶ф暟鎹鐞?鐢?29.75,0.67,100,0.82,83.42,1,4,
鐢靛瓙鍟嗗姟,濂?11.02,0.64,93.68,0.93,83.23,0,3
澶ф暟鎹鐞?濂?32.51,0.92,65.31,0.88,80.51,0,4,
璐㈠姟绠＄悊,鐢?16.91,0.86,95.99,0.89,71.99,1,2
浜哄伐鏅鸿兘,鐢?35.66,0.71,80.85,0.72,89.44,1,1
鐢靛瓙鍟嗗姟,鐢?34.55,0.89,80.64,0.9,93.03,1,3
澶ф暟鎹鐞?濂?8.42,0.75,90.88,0.93,65.88,0,4,
璐㈠姟绠＄悊,濂?30.76,0.96,78.71,0.98,85.34,0,2
鐢靛瓙鍟嗗姟,濂?30.79,0.97,76.6,0.73,77.55,0,3
浜哄伐鏅鸿兘,濂?12.65,0.7,79.57,0.79,80.93,0,1
澶ф暟鎹鐞?鐢?22.13,0.68,83.25,0.93,65.86,1,4,
璐㈠姟绠＄悊,濂?21.09,0.94,54.15,0.74,79.15,0,2
璐㈠姟绠＄悊,鐢?5.91,0.76,74.94,0.9,63.77,1,2
浜哄伐鏅鸿兘,濂?22.73,0.61,78.83,0.86,78.53,0,1
澶ф暟鎹鐞?鐢?18.73,0.85,65.04,0.93,79.9,1,4,
璐㈠姟绠＄悊,濂?28.67,0.64,87.26,0.75,77.47,0,2
璐㈠姟绠＄悊,濂?22.63,0.85,95.95,0.7,81.73,0,2
浜哄伐鏅鸿兘,濂?18.9,0.61,92.35,0.79,72.53,0,1
璐㈠姟绠＄悊,鐢?19.13,0.97,76.9,0.88,68.51,1,2
鐢靛瓙鍟嗗姟,鐢?22.28,0.65,49.82,0.83,60.3,1,3
宸ュ晢绠＄悊,濂?12.38,0.63,100,0.89,77.89,0,0
璐㈠姟绠＄悊,濂?13.45,0.7,62.72,0.99,59.01,0,2
浜哄伐鏅鸿兘,濂?10.59,0.78,57.63,0.83,54.12,0,1
璐㈠姟绠＄悊,濂?15.62,0.61,59.4,0.95,65.91,0,2
鐢靛瓙鍟嗗姟,鐢?14.55,0.81,89.26,0.78,69.07,1,3
鐢靛瓙鍟嗗姟,濂?5.0,0.64,98.61,0.81,73.61,0,3
浜哄伐鏅鸿兘,鐢?25.25,0.65,79.73,0.79,80.85,1,1
澶ф暟鎹鐞?鐢?12.86,0.64,58.37,0.76,58.72,1,4,
澶ф暟鎹鐞?鐢?12.54,0.81,85.07,0.85,64.63,1,4,
浜哄伐鏅鸿兘,鐢?7.7,0.82,83.3,0.81,69.77,1,1
澶ф暟鎹鐞?濂?14.89,0.68,61.82,0.74,63.35,0,4,
澶ф暟鎹鐞?鐢?32.79,0.68,75.15,0.8,82.84,1,4,
璐㈠姟绠＄悊,濂?7.46,0.86,85.2,0.85,65,0,2
浜哄伐鏅鸿兘,鐢?26.87,0.77,71.45,0.87,69.66,1,1
浜哄伐鏅鸿兘,鐢?22.9,0.94,56.65,0.75,59.7,1,1
宸ュ晢绠＄悊,鐢?5.15,0.76,84.06,0.97,64.4,1,0
鐢靛瓙鍟嗗姟,濂?17.98,0.95,68.01,0.72,71.25,0,3
鐢靛瓙鍟嗗姟,濂?15.56,0.91,97.91,0.86,88.35,0,3
鐢靛瓙鍟嗗姟,濂?32.07,0.65,70.81,0.75,79.67,0,3
璐㈠姟绠＄悊,濂?5.0,0.63,60.95,0.87,54.49,0,2
宸ュ晢绠＄悊,鐢?29.92,0.65,50.01,0.98,54.67,1,0
璐㈠姟绠＄悊,鐢?15.06,0.99,73.04,0.79,76.47,1,2
璐㈠姟绠＄悊,鐢?38.08,0.96,77.65,0.99,88.2,1,2
浜哄伐鏅鸿兘,鐢?25.18,0.69,72.5,0.94,73.67,1,1
鐢靛瓙鍟嗗姟,濂?29.29,0.93,81.66,0.99,75.19,0,3
璐㈠姟绠＄悊,濂?14.26,0.64,81.88,0.95,70.26,0,2
浜哄伐鏅鸿兘,濂?11.82,0.8,81.69,0.83,60.75,0,1
澶ф暟鎹鐞?濂?16.21,0.85,80.47,0.85,77.77,0,4,
澶ф暟鎹鐞?鐢?9.82,0.83,81.81,0.8,66.28,1,4,
浜哄伐鏅鸿兘,鐢?28.52,0.79,88.73,0.77,78.43,1,1
璐㈠姟绠＄悊,鐢?22.05,0.72,63.23,0.77,53.09,1,2
璐㈠姟绠＄悊,鐢?25.03,0.98,57.67,0.86,76.64,1,2
澶ф暟鎹鐞?鐢?32.54,0.76,64.74,0.82,70.45,1,4,
璐㈠姟绠＄悊,濂?19.01,0.95,100,0.93,88.51,0,2
鐢靛瓙鍟嗗姟,濂?23.04,0.82,47.92,0.91,55.76,0,3
鐢靛瓙鍟嗗姟,鐢?22.68,0.9,100,0.71,75,1,3
鐢靛瓙鍟嗗姟,鐢?15.94,0.9,51.93,0.75,54.24,1,3
浜哄伐鏅鸿兘,濂?25.06,0.76,94.33,0.77,79.88,0,1
璐㈠姟绠＄悊,濂?5.22,0.72,93.64,0.99,77.87,0,2
浜哄伐鏅鸿兘,濂?24.11,0.82,38.06,0.79,52.63,0,1
宸ュ晢绠＄悊,鐢?24.12,1,82.4,0.72,73.55,1,0
宸ュ晢绠＄悊,濂?20.99,0.64,73.86,0.86,58.15,0,0
璐㈠姟绠＄悊,鐢?17.24,0.69,79.51,0.78,70.78,1,2
浜哄伐鏅鸿兘,鐢?13.7,0.93,83.64,0.91,69.33,1,1
澶ф暟鎹鐞?鐢?14.11,0.65,56.5,0.73,67.3,1,4,
宸ュ晢绠＄悊,鐢?29.49,0.67,100,0.72,86.74,1,0
璐㈠姟绠＄悊,濂?7.53,0.8,89.84,0.9,79.44,0,2
澶ф暟鎹鐞?鐢?17.49,0.71,80.89,0.89,71.04,1,4,
浜哄伐鏅鸿兘,濂?26.25,0.65,65.14,0.94,71.05,0,1
澶ф暟鎹鐞?鐢?36.71,0.73,73.47,0.81,72.57,1,4,
璐㈠姟绠＄悊,濂?24.56,0.83,67.59,0.8,61.6,0,2
浜哄伐鏅鸿兘,鐢?31.08,0.91,88.74,0.76,85.08,1,1
宸ュ晢绠＄悊,鐢?10.96,0.93,63.51,0.75,67.56,1,0
宸ュ晢绠＄悊,鐢?19.48,0.61,78.72,0.75,53.86,1,0
浜哄伐鏅鸿兘,濂?22.3,0.8,53.99,0.7,56.85,0,1
璐㈠姟绠＄悊,鐢?5.0,0.63,100,0.9,93.01,1,2
璐㈠姟绠＄悊,鐢?15.21,0.72,57.64,0.73,62.24,1,2
澶ф暟鎹鐞?鐢?29.85,0.95,83.54,0.79,93.54,1,4,
璐㈠姟绠＄悊,鐢?23.16,0.96,63.58,0.8,64.93,1,2
浜哄伐鏅鸿兘,鐢?10.59,0.84,80.05,0.77,65.28,1,1
宸ュ晢绠＄悊,鐢?23.3,0.69,93.66,0.96,90.68,1,0
璐㈠姟绠＄悊,鐢?15.97,0.99,100,0.83,90.48,1,2
鐢靛瓙鍟嗗姟,濂?10.37,0.63,76.65,0.91,65.74,0,3
澶ф暟鎹鐞?鐢?38.95,0.86,69.46,0.81,71.42,1,4,
宸ュ晢绠＄悊,鐢?19.39,0.74,80.9,0.77,82.03,1,0
澶ф暟鎹鐞?鐢?17.15,0.8,94.82,0.85,100,1,4,
浜哄伐鏅鸿兘,濂?37.93,0.9,86.86,0.77,77.57,0,1
宸ュ晢绠＄悊,濂?13.09,0.8,78.6,0.78,81.68,0,0
鐢靛瓙鍟嗗姟,鐢?19.17,0.94,100,0.95,84.23,1,3
鐢靛瓙鍟嗗姟,鐢?23.17,0.7,66.33,0.79,64.59,1,3
浜哄伐鏅鸿兘,鐢?13.0,0.99,74.61,0.78,72.67,1,1
宸ュ晢绠＄悊,濂?27.7,1,74.1,1,72.14,0,0
宸ュ晢绠＄悊,濂?12.78,0.87,61.27,0.81,61.91,0,0
璐㈠姟绠＄悊,濂?10.73,0.8,94.34,0.79,69.34,0,2
宸ュ晢绠＄悊,鐢?15.9,0.84,53.15,0.81,63.21,1,0
璐㈠姟绠＄悊,鐢?33.05,0.69,77.59,0.79,92.4,1,2
宸ュ晢绠＄悊,鐢?20.95,0.65,62.54,0.96,60.75,1,0
澶ф暟鎹鐞?濂?23.79,0.7,61.43,0.74,62.93,0,4,
璐㈠姟绠＄悊,濂?40.0,0.87,92.68,0.71,89.29,0,2
浜哄伐鏅鸿兘,濂?21.49,0.71,78.42,0.82,80.72,0,1
宸ュ晢绠＄悊,鐢?25.13,0.89,81.6,0.71,80.47,1,0
浜哄伐鏅鸿兘,鐢?24.12,0.88,75.29,0.9,83.47,1,1
宸ュ晢绠＄悊,濂?29.11,0.81,53.66,1,64.96,0,0
浜哄伐鏅鸿兘,濂?31.37,0.75,100,0.7,90.54,0,1
浜哄伐鏅鸿兘,濂?16.22,0.6,61.87,0.7,36.87,0,1
璐㈠姟绠＄悊,濂?9.54,0.61,62.47,0.93,65.1,0,2
鐢靛瓙鍟嗗姟,鐢?20.99,0.77,100,0.93,76.47,1,3
澶ф暟鎹鐞?鐢?30.74,0.7,89.87,0.9,82.1,1,4,
浜哄伐鏅鸿兘,濂?23.84,0.87,53.88,0.8,69.55,0,1
宸ュ晢绠＄悊,鐢?22.93,0.99,76.55,0.87,65.86,1,0
璐㈠姟绠＄悊,濂?13.36,0.71,58.32,0.88,69.05,0,2
澶ф暟鎹鐞?濂?5.0,0.84,92.81,0.82,72.62,0,4,
璐㈠姟绠＄悊,鐢?18.04,0.61,76.59,0.9,81.94,1,2
澶ф暟鎹鐞?濂?20.06,0.66,77.83,0.76,63.05,0,4,
浜哄伐鏅鸿兘,鐢?29.07,0.89,66.22,0.71,58.79,1,1
宸ュ晢绠＄悊,濂?22.11,0.82,83.18,0.78,76.47,0,0
澶ф暟鎹鐞?濂?10.56,0.75,67.17,0.75,66.65,0,4,
澶ф暟鎹鐞?濂?14.16,0.67,87.98,0.75,78.09,0,4,
璐㈠姟绠＄悊,鐢?16.98,1,65.74,0.84,59.54,1,2
澶ф暟鎹鐞?鐢?12.52,0.96,89.08,0.71,64.08,1,4,
澶ф暟鎹鐞?鐢?21.35,0.98,84.12,0.79,76.8,1,4,
鐢靛瓙鍟嗗姟,濂?22.46,0.64,74.81,0.83,74.77,0,3
宸ュ晢绠＄悊,鐢?19.19,0.71,71.24,0.97,74.19,1,0
浜哄伐鏅鸿兘,鐢?21.82,0.68,73.43,0.93,84.11,1,1
浜哄伐鏅鸿兘,濂?11.01,0.92,86.29,0.79,71.09,0,1
鐢靛瓙鍟嗗姟,濂?13.63,0.99,97.65,0.74,72.65,0,3
璐㈠姟绠＄悊,鐢?13.07,0.9,57.69,0.82,71.52,1,2
璐㈠姟绠＄悊,鐢?15.44,0.75,81.02,0.99,75.86,1,2
澶ф暟鎹鐞?濂?25.91,0.77,80.04,0.96,81.07,0,4,
宸ュ晢绠＄悊,鐢?32.28,0.68,62.16,0.96,77.06,1,0
澶ф暟鎹鐞?鐢?26.36,0.76,81.3,0.99,89.39,1,4,
澶ф暟鎹鐞?鐢?10.57,0.78,71.05,0.88,65.62,1,4,
宸ュ晢绠＄悊,濂?12.91,0.76,71.33,0.9,77.31,0,0
澶ф暟鎹鐞?鐢?14.79,0.88,62.58,0.94,70.75,1,4,
宸ュ晢绠＄悊,鐢?22.07,0.63,100,0.8,77.47,1,0
宸ュ晢绠＄悊,濂?17.59,0.76,74.55,0.74,66.66,0,0
澶ф暟鎹鐞?濂?14.84,0.8,57.77,0.95,67.81,0,4,
璐㈠姟绠＄悊,鐢?22.96,0.91,51.51,0.84,58.13,1,2
璐㈠姟绠＄悊,鐢?31.11,0.98,91.32,0.94,96.07,1,2
宸ュ晢绠＄悊,濂?13.52,0.66,82.13,0.98,73.85,0,0
宸ュ晢绠＄悊,濂?25.69,0.87,93.26,0.79,87.16,0,0
宸ュ晢绠＄悊,鐢?34.47,0.6,92.88,0.89,95.42,1,0
璐㈠姟绠＄悊,濂?18.39,0.85,84.42,0.71,77.85,0,2
鐢靛瓙鍟嗗姟,濂?20.12,0.65,75.48,0.74,69.24,0,3
宸ュ晢绠＄悊,濂?23.91,0.62,79.12,0.76,71.6,0,0
浜哄伐鏅鸿兘,鐢?30.94,0.8,60.18,0.88,69.7,1,1
浜哄伐鏅鸿兘,鐢?27.7,0.73,78.34,0.99,81.1,1,1
璐㈠姟绠＄悊,濂?29.67,0.69,71.04,0.82,82.57,0,2
澶ф暟鎹鐞?濂?19.43,0.81,100,0.77,78.49,0,4,
宸ュ晢绠＄悊,鐢?9.03,0.97,62.49,0.77,55.64,1,0
鐢靛瓙鍟嗗姟,鐢?18.46,0.63,71.21,0.73,75.82,1,3
宸ュ晢绠＄悊,鐢?40.0,0.84,81.45,0.89,83.25,1,0
宸ュ晢绠＄悊,鐢?24.15,0.61,85.74,0.87,78.86,1,0
璐㈠姟绠＄悊,鐢?21.46,0.84,64.93,0.95,65.42,1,2
璐㈠姟绠＄悊,濂?40.0,0.91,86.89,0.98,81.73,0,2
璐㈠姟绠＄悊,濂?29.69,0.98,64.17,0.95,77.13,0,2
澶ф暟鎹鐞?鐢?17.14,0.72,73.82,0.9,79.1,1,4,
璐㈠姟绠＄悊,濂?26.61,1,90.72,0.85,85.86,0,2
璐㈠姟绠＄悊,濂?31.77,0.73,88.57,0.78,72.64,0,2
宸ュ晢绠＄悊,鐢?18.94,0.66,83.73,0.7,72.73,1,0
鐢靛瓙鍟嗗姟,濂?25.72,0.87,56.59,0.84,61.23,0,3
浜哄伐鏅鸿兘,鐢?24.88,0.65,83.48,0.8,58.48,1,1
澶ф暟鎹鐞?濂?30.67,0.72,69.42,0.71,70.93,0,4,
澶ф暟鎹鐞?鐢?20.61,0.78,67.03,0.8,71.74,1,4,
鐢靛瓙鍟嗗姟,濂?14.96,0.66,41.65,0.71,58.93,0,3
宸ュ晢绠＄悊,濂?20.45,0.7,62.59,0.91,79.53,0,0
璐㈠姟绠＄悊,濂?28.17,0.72,77.99,0.7,79.11,0,2
宸ュ晢绠＄悊,鐢?24.17,0.98,80.04,0.86,86.78,1,0
澶ф暟鎹鐞?鐢?12.46,0.72,97.02,0.95,72.02,1,4,
浜哄伐鏅鸿兘,濂?11.74,0.8,81.82,0.74,84.11,0,1
浜哄伐鏅鸿兘,濂?36.47,0.85,75.85,0.94,91.13,0,1
浜哄伐鏅鸿兘,鐢?14.94,0.85,86.99,0.72,71.46,1,1
澶ф暟鎹鐞?濂?12.94,0.97,73.65,0.71,74.51,0,4,
宸ュ晢绠＄悊,鐢?16.53,0.9,81.55,0.88,80.51,1,0
宸ュ晢绠＄悊,鐢?18.95,0.94,76.49,0.72,84.62,1,0
璐㈠姟绠＄悊,鐢?17.51,0.9,59.16,0.85,63.35,1,2
鐢靛瓙鍟嗗姟,濂?31.27,0.91,88.77,0.78,80.24,0,3
澶ф暟鎹鐞?濂?14.26,0.61,67.16,0.97,60.09,0,4,
璐㈠姟绠＄悊,鐢?19.32,0.89,77.24,0.92,82.71,1,2
鐢靛瓙鍟嗗姟,濂?27.05,0.95,86.64,0.92,70.8,0,3
璐㈠姟绠＄悊,鐢?14.96,0.87,100,0.93,75,1,2
宸ュ晢绠＄悊,鐢?16.75,0.82,100,0.78,89.82,1,0
鐢靛瓙鍟嗗姟,鐢?23.85,0.98,72.57,0.86,77.84,1,3
璐㈠姟绠＄悊,鐢?7.31,0.99,61.48,0.88,62.57,1,2
璐㈠姟绠＄悊,濂?20.06,0.79,48.48,0.96,50.11,0,2
宸ュ晢绠＄悊,濂?9.11,0.94,74.61,1,55.45,0,0
宸ュ晢绠＄悊,鐢?23.4,0.98,61.09,0.76,63.44,1,0
璐㈠姟绠＄悊,濂?36.52,0.97,95.36,0.95,96.98,0,2
浜哄伐鏅鸿兘,濂?29.36,0.79,53.28,0.83,61.53,0,1
澶ф暟鎹鐞?濂?19.01,0.73,59.06,0.91,70.93,0,4,
璐㈠姟绠＄悊,鐢?16.72,0.87,69.29,0.87,61.12,1,2
澶ф暟鎹鐞?鐢?5.0,0.79,81.92,0.95,64.53,1,4,
璐㈠姟绠＄悊,濂?17.11,0.62,65.66,0.84,69.18,0,2
璐㈠姟绠＄悊,濂?13.33,0.91,61.13,0.76,59.08,0,2
宸ュ晢绠＄悊,濂?15.83,0.85,54.31,0.87,58.13,0,0
宸ュ晢绠＄悊,濂?26.28,0.65,75.64,0.94,70.03,0,0
宸ュ晢绠＄悊,濂?35.35,0.81,58.57,0.86,66.6,0,0
宸ュ晢绠＄悊,濂?19.55,0.89,81.32,0.89,79.88,0,0
璐㈠姟绠＄悊,鐢?17.72,0.87,68.86,0.71,70.97,1,2
浜哄伐鏅鸿兘,濂?23.59,0.74,63.98,0.84,69.14,0,1
宸ュ晢绠＄悊,濂?8.89,0.93,82.02,0.91,67.44,0,0
浜哄伐鏅鸿兘,濂?7.18,0.71,90.51,0.82,69.9,0,1
鐢靛瓙鍟嗗姟,鐢?17.66,0.73,60.2,0.8,74.9,1,3
鐢靛瓙鍟嗗姟,濂?18.97,0.9,81.04,0.85,64.71,0,3
璐㈠姟绠＄悊,濂?18.84,0.96,91.63,0.71,95.53,0,2
鐢靛瓙鍟嗗姟,鐢?16.28,0.94,89.18,0.71,78.24,1,3
澶ф暟鎹鐞?鐢?18.97,0.9,62.58,0.99,67.59,1,4,
宸ュ晢绠＄悊,鐢?17.71,0.77,70.18,0.76,74.79,1,0
鐢靛瓙鍟嗗姟,鐢?12.33,0.98,60.22,0.76,44.26,1,3
澶ф暟鎹鐞?濂?20.52,0.85,85.11,0.92,90.39,0,4,
鐢靛瓙鍟嗗姟,鐢?23.64,0.78,72.69,0.84,86.65,1,3
浜哄伐鏅鸿兘,鐢?28.19,0.85,82.7,0.94,90.23,1,1
宸ュ晢绠＄悊,濂?38.0,0.62,76.95,0.74,64.71,0,0
澶ф暟鎹鐞?鐢?33.39,0.73,69.15,0.95,81.61,1,4,
澶ф暟鎹鐞?濂?36.77,0.6,85.61,0.71,91.2,0,4,
澶ф暟鎹鐞?濂?29.37,0.72,54.6,0.98,78.35,0,4,
浜哄伐鏅鸿兘,鐢?13.29,0.97,55.44,0.71,47.39,1,1
浜哄伐鏅鸿兘,鐢?22.37,0.92,95.43,0.81,92.75,1,1
浜哄伐鏅鸿兘,濂?13.33,0.64,67.62,0.77,77.18,0,1
鐢靛瓙鍟嗗姟,濂?16.93,0.71,60.21,0.98,64.28,0,3
璐㈠姟绠＄悊,濂?18.56,0.6,82.54,0.79,59.58,0,2
璐㈠姟绠＄悊,鐢?26.35,0.93,57.22,0.74,72.83,1,2
璐㈠姟绠＄悊,濂?15.05,0.62,49.78,0.81,62.81,0,2
鐢靛瓙鍟嗗姟,鐢?34.22,0.93,66.95,0.94,77.73,1,3
宸ュ晢绠＄悊,濂?19.92,0.64,78.73,0.87,62.53,0,0
璐㈠姟绠＄悊,濂?21.2,0.68,67.23,0.71,72.83,0,2
宸ュ晢绠＄悊,鐢?25.53,0.88,63.41,0.85,64.8,1,0
鐢靛瓙鍟嗗姟,濂?23.58,0.91,71.43,0.89,77.55,0,3
鐢靛瓙鍟嗗姟,鐢?22.48,0.8,65.41,0.85,80.68,1,3
浜哄伐鏅鸿兘,鐢?18.1,0.84,89.74,0.81,65.1,1,1
鐢靛瓙鍟嗗姟,濂?23.32,0.97,59.46,0.76,74.41,0,3
澶ф暟鎹鐞?濂?26.03,0.68,86.26,0.84,77.43,0,4,
鐢靛瓙鍟嗗姟,鐢?20.81,0.96,65.66,0.71,66.92,1,3
宸ュ晢绠＄悊,鐢?15.09,0.87,87.09,0.75,79.82,1,0
浜哄伐鏅鸿兘,濂?28.44,0.79,95.25,0.91,81.77,0,1
浜哄伐鏅鸿兘,濂?12.89,0.83,54.5,0.84,48.44,0,1
璐㈠姟绠＄悊,鐢?17.52,0.97,92.52,0.99,69.71,1,2
宸ュ晢绠＄悊,鐢?7.03,0.66,76.36,0.83,75.53,1,0
澶ф暟鎹鐞?鐢?33.13,0.82,47.23,0.96,64.37,1,4,
宸ュ晢绠＄悊,濂?20.72,0.9,66.39,0.79,73.44,0,0
璐㈠姟绠＄悊,濂?11.98,0.83,73.32,0.98,65.42,0,2
